Menu,Calories,Calories from fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carb,Dietary Fiber,Total Sugar,Protein
WHOPPER Sandwich,650,340,37,11,1.5,60,910,50,2,12,22
WHOPPER Sandwich w/o Mayo,510,200,22,8,1.5,55,790,50,2,12,22
WHOPPER Sandwich with Cheese,730,400,44,15,2,85,1260,51,2,13,26
WHOPPER Sandwich with Cheese w/o Mayo,600,260,29,13,1.5,75,1140,51,2,13,26
DOUBLE WHOPPER Sandwich,900,510,56,19,3,115,980,50,2,12,35
DOUBLE WHOPPER Sandwich w/o Mayo,770,370,41,17,2.5,105,860,50,2,12,35
DOUBLE WHOPPER Sandwich with Cheese,990,570,63,23,3,135,1330,51,2,13,40
DOUBLE WHOPPER Sandwich with Cheese w/o Mayo,850,420,48,21,3,130,1220,51,2,13,39
TRIPLE WHOPPER Sandwich,1160,670,75,27,4,170,1050,50,2,12,49
TRIPLE WHOPPER Sandwich w/o Mayo,1020,540,60,25,4,160,930,49,2,12,48
Spicy BLT WHOPPER,750,420,46,17,2,100,1480,48,3,8,29
WHOPPER JR. Sandwich,300,150,16,4.5,0.5,25,460,27,1,7,9
WHOPPER JR. Sandwich w/o Mayo,240,90,10,3.5,0.5,25,410,27,1,6,10
WHOPPER JR. Sandwich with Cheese,350,190,21,7,1,40,640,28,1,7,12
WHOPPER JR. Sandwich with Cheese w/o Mayo,280,120,13,6,0.5,40,580,27,1,7,12
Big King,530,280,31,11,1.5,75,790,38,2,8,19
A.1. Ultimate Bacon Cheeseburger,820,460,51,22,3,140,1370,37,1,8,39
Hamburger,230,80,9,3,0,25,460,26,1,6,9
Cheeseburger,270,110,12,5,0.5,35,630,27,1,7,11
Double Hamburger,320,140,15,6,1,45,450,26,1,6,14
Double Cheeseburger,360,170,19,8,1,60,670,27,1,7,16
Extra Long Cheeseburger,590,300,33,12,1.5,75,1040,50,3,11,22
Bacon Cheeseburger,290,120,13,6,0.5,40,680,27,1,7,12
Bacon Double Cheeseburger,390,190,21,9,1,65,790,27,1,7,17
Double Cheeseburger,360,170,19,8,1,60,670,27,1,7,16
Bacon Cheeseburger  Deluxe,290,120,14,6,0.5,40,720,28,1,7,12
King Jr. Cheeseburger,310,150,17,6,0.5,40,580,26,1,5,11
TENDERGRILL Chicken Sandwich,380,140,16,2.5,0,75,730,33,2,5,29
TENDERGRILL Chicken Sandwich w/o Mayo,290,50,6,1,0,70,650,33,2,5,29
TENDERCRISP Chicken Sandwich,610,330,37,6,0,70,1170,47,4,7,26
TENDERCRISP Chicken Sandwich w/o Mayo,430,150,16,3,0,60,1010,47,4,6,25
Bacon Cheddar TENDERCRISP,740,420,47,12,0.5,105,1770,49,4,7,33
Original Chicken Sandwich,640,320,36,6,0,70,1140,53,3,7,29
Original Chicken Sandwich w/o Mayo,450,140,16,2.5,0,60,980,52,3,7,28
Crispy Chicken Jr.,430,250,28,4.5,0,30,760,34,2,4,12
Spicy Crispy Chicken Jr.,410,220,25,4.5,0,35,850,35,2,5,12
Chicken Strips 3pc,340,150,17,2.5,0,55,1130,26,3,0,22
Chicken Strips 5pc,570,250,28,4.5,0.5,90,1890,44,4,0,36
Chicken Nuggets 4pc,190,100,11,2,0,20,360,13,2,0,8
Chicken Nuggets 6pc,280,150,17,3,0,30,540,20,3,0,13
Chicken Nuggets 10 pc,470,260,29,5,0,50,890,34,5,0,21
Chicken Nuggets 20 pc,950,510,57,11,0,100,1790,67,9,0,42
Chicken Fries,290,150,17,3,1.5,40,780,18,1,1,16
Big Fish Sandwich,500,250,28,4.5,0,30,1230,49,2,6,15
Big Fish Sandwich w/o Tartar Sauce,320,80,9,1.5,0,15,1020,46,2,4,15
BK VEGGIE Burger,390,140,16,2.5,0,5,900,44,5,9,21
BK VEGGIE Burger w/o Mayo,320,70,8,1,0,0,840,43,5,9,21
Kids Oatmeal,170,30,3,1.5,0,5,260,32,3,12,4
Chicken Nuggets 4pc,190,100,11,2,0,20,360,13,2,0,8
Chicken Nuggets 6pc,280,150,17,3,0,30,540,20,3,0,13
Home-style Chicken Strips 2pc,230,100,11,2,0,35,760,18,2,0,15
Hamburger,230,80,9,3,0,25,460,26,1,6,9
Cheeseburger,270,110,12,5,0.5,35,630,27,1,7,11
Apple Slices,30,0,0,0,0,0,0,7,1,6,0
Satisfries French Fries value (Salted),190,70,8,1,0,0,210,28,2,0,2
Fat FREE Milk (8 fl oz),90,0,0,0,0,5,125,13,0,12,9
1% Low Fat Chocolate Milk (8 fl oz),160,25,2.5,1.5,0,15,150,26,0,25,8
Capri Sun 100% Apple Juice,80,0,0,0,0,0,25,20,0,20,0
Soft Serve Cone,160,35,4,2.5,0,15,130,27,0,20,4
Chocolate Chip cookie,160,70,8,4,0,10,125,24,1,15,2
Chicken Apple and Cranberry Garden Fresh Salad Wrap crispy,490,210,24,6,0,35,990,53,4,18,16
Chicken Caesar Garden Fresh Salad Wrap grilled,340,140,16,3.5,0,45,960,33,4,3,21
Chicken Caesar Garden Fresh Salad Wrap crispy,440,210,24,4.5,0,35,1220,42,4,4,18
Ken's Citrus Caesar Dressing packet,180,160,18,3.5,0,5,460,4,0,2,2
Ken's Honey Mustard Dressing packet,220,160,18,2.5,0,15,270,13,1,12,1
Ken's Lite Honey Balsamic packet,120,70,7,1,0,0,220,14,0,11,0
Ken's Avocado Ranch Dressing packet,170,150,17,3,0,15,420,4,0,3,1
Ken's Apple Cider Vinaigrette packet,210,160,18,2.5,0,10,115,10,0,7,0
Home-style Caesar Croutons Packet,60,20,2,0,0,10,160,9,0,1,2
Apple Slices,30,0,0,0,0,0,0,7,1,6,0
Onion Rings value,150,70,8,1.5,0,0,400,19,1,2,1
Onion Rings small,320,150,16,3,0,0,840,41,3,4,3
Onion Rings medium,410,190,21,3.5,0,0,1080,53,4,5,4
Onion Rings large,500,230,25,4.5,0,0,1310,64,5,7,5
French Fries value (Salted),240,90,10,1.5,0,0,330,34,3,0,2
French Fries small  (Salted),340,130,15,2.5,0,0,480,49,4,0,4
French Fries medium (Salted),410,160,18,3,0,0,570,58,4,0,4
French Fries large (Salted),500,200,22,3.5,0,0,710,72,5,0,5
Satisfries French Fries Value (salted),190,70,8,1,0,0,210,28,2,0,2
"BK Breakfast Muffin Sandwich bacon, egg and Cheese",300,120,14,5,0,175,990,27,2,3,15
BK Ultimate Breakfast Platter,1420,710,79,29,1,460,3020,139,5,41,36
Pancake and Sausage platter,660,270,31,8,0,80,1020,83,1,36,13
Pancakes (3) and 1 oz breakfast syrup,490,140,16,4,0,45,710,82,1,36,5
CROISSAN'WICH Egg & Cheese,330,160,18,8,0,155,620,31,1,5,11
CROISSAN'WICH Sausage & Cheese,420,240,27,11,0,45,710,31,1,4,14
"CROISSAN'WICH Sausage, Egg & Cheese",500,290,33,12,0,190,930,32,1,5,19
"CROISSAN'WICH Ham, Egg, Cheese",390,180,20,8,0,175,1080,33,1,7,17
"CROISSAN'WICH Bacon, Egg, Cheese",370,190,21,9,0,165,770,31,1,6,13
"DOUBLE CROISSAN'WICH w/ Sausage, Egg, Cheese",790,510,57,21,1,380,1630,35,1,7,34
"DOUBLE CROISSAN'WICH w/ Ham, Egg, Cheese",480,230,26,11,0,205,1720,36,1,9,25
"DOUBLE CROISSAN'WICH w/ Bacon, Egg, Cheese",440,240,27,12,0.5,190,1070,32,1,6,17
"DOUBLE CROISSAN'WICH w/ Sausage, Bacon, Egg, Cheese",580,350,39,15,0.5,215,1250,33,1,6,23
"DOUBLE CROISSAN'WICH w/ Ham, Bacon, Egg, Cheese",470,240,27,12,0.5,205,1430,34,1,7,21
"DOUBLE CROISSAN'WICH w/ Ham, Sausage, Egg, Cheese",600,350,39,15,0.5,230,1580,35,1,7,27
Sausage Biscuit,420,240,27,15,0.5,35,1090,32,1,3,13
